id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
447523,Bedroom in artistic Northwest home,2222321,Deb,Other neighborhoods,Wedgwood,47.68523,-122.28943,Private room,50,1,181,2019-03-01,2.18,4,341
447566,Capitol Hill 1bdrm Condo w/Parking,2222615,Heidi,Downtown,Central Business District,47.6151,-122.32974,Entire home/apt,150,2,76,2016-09-22,0.91,1,90
451012,Spacious house near Ballard ,2234071,Sasan,Other neighborhoods,Broadview,47.71352,-122.35874,Entire home/apt,195,7,2,2013-12-30,0.02,1,116
461234,Browns House Guest Apt. in Ballard,1870781,Diana,Ballard,Whittier Heights,47.68394,-122.37305,Entire home/apt,99,3,248,2019-03-25,2.97,1,289
461567,MODERN BRIGHT SUITE CLOSE TO BALLARD,2294267,Donna,Other neighborhoods,Crown Hill,47.69736,-122.37622,Private room,75,1,265,2019-04-07,3.24,1,105
463768,delux comfort+ in coolest 'hood / spacious 4 bdrm,1210993,Audrey,Ballard,Sunset Hill,47.66899,-122.4028,Entire home/apt,395,2,24,2017-09-03,0.29,1,0
475361,NE Seattle Artist Treehouse Suite!,2342082,Marilyn,Lake City,Cedar Park,47.71796,-122.29114,Entire home/apt,77,3,115,2019-02-13,1.39,1,87
475496,Cap Hill modern light-filled home,1495392,Lindsey,Capitol Hill,Stevens,47.62785,-122.29871,Entire home/apt,200,20,1,2012-07-26,0.01,2,0
490076,Super cute w/gardens & charm. Great location!,3921530,Ann Petrich,Other neighborhoods,Fremont,47.6543,-122.35259,Entire home/apt,80,2,295,2019-04-11,4.96,3,29
490110,Seattle Pike Place Market Apartment,2403410,Alan,Downtown,Pike-Market,47.61172,-122.34368,Entire home/apt,275,3,44,2018-09-03,0.54,1,0
491958,Columbia City Treehouse Vacation Rental,2431399,Jay,Rainier Valley,Columbia City,47.56051,-122.27895,Entire home/apt,75,2,313,2019-04-08,3.80,1,214
493591,"""THE 5-STAR  HOUSE""",2438665,Flor,Other neighborhoods,Crown Hill,47.70295,-122.36861,Private room,55,3,158,2018-10-05,1.90,4,349
496074,Spacious Garden Apt Phinney Ridge,2450062,Liza,Other neighborhoods,Phinney Ridge,47.67805,-122.36043,Entire home/apt,95,3,141,2018-09-18,1.74,2,358
506542,"Garden Apartment, Keypad Entry",1414691,Jordan,Other neighborhoods,Wallingford,47.65854,-122.32582,Entire home/apt,95,2,171,2019-03-31,2.05,5,269
513344,artsy bungalow in friendly phinney,2450062,Liza,Other neighborhoods,Phinney Ridge,47.67871,-122.36066,Entire home/apt,120,5,5,2017-08-19,0.06,2,0
522270,House boat on Lake Union Seattle,1037115,Rose And Glen,Cascade,Westlake,47.63642,-122.34124,Entire home/apt,130,3,18,2018-03-15,0.22,6,116
533443,Max's West Seattle Hideaway,2370749,Tom,Delridge,Riverview,47.5366,-122.35605,Private room,45,1,282,2018-02-18,3.40,1,0
544433,"8, Sparkling Seattle Center",2612779,Serina,Queen Anne,Lower Queen Anne,47.62082,-122.35634,Entire home/apt,95,2,408,2019-04-02,4.92,1,167
552325,Seattle 2 BR Condo w/ Amazing Views of Bay,306615,Tara,Capitol Hill,Portage Bay,47.64933,-122.31925,Entire home/apt,249,2,9,2019-03-03,0.13,3,92
555182,Artistic Seattle home..whole house,2222321,Deb,Other neighborhoods,Wedgwood,47.68362,-122.28828,Entire home/apt,275,1,18,2016-08-21,0.27,4,196
557126,Charming Capitol Hill Room,2739131,Chad & Ruben,Capitol Hill,Broadway,47.61968,-122.32415,Private room,98,2,343,2019-03-31,4.24,2,93
564220,Cute Bungalow #2 - near Light Rail,2774354,Kristin,Rainier Valley,Mount Baker,47.57917,-122.29212,Private room,40,2,127,2019-04-02,1.56,2,236
564428,Cute Bungalow #1 - near Light Rail,2774354,Kristin,Rainier Valley,Mount Baker,47.57955,-122.29369,Private room,47,2,230,2018-09-28,2.80,2,133
565703,Garden Apartment in Madison Valley,2781551,Ron,Central Area,Mann,47.62093,-122.29815,Entire home/apt,95,2,305,2019-01-01,4.14,3,285
566435,"""THE 5-STAR HOUSE"" ",2438665,Flor,Other neighborhoods,Crown Hill,47.70155,-122.36651,Private room,80,3,89,2018-12-09,1.11,4,277
573942,Queen Bee room w/memory foam bed,30559,Angielena,Beacon Hill,Mid-Beacon Hill,47.54946,-122.31658,Private room,60,2,145,2019-03-31,1.79,7,327
580815,St. John's Apt. 319 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61355,-122.32131,Entire home/apt,168,3,49,2019-02-24,0.69,8,231
587584,Greenlake/Greenwood/Phinney Oasis,2796016,Aexis,Other neighborhoods,Greenwood,47.68778,-122.3486,Entire home/apt,123,2,63,2018-08-20,0.77,1,0
598023,West Seattle Home near Junction,2613029,Jeffrey,West Seattle,Genesee,47.56221,-122.38598,Private room,99,3,13,2017-08-07,0.19,1,349
604600,condo in seattle,103427,Magalie,Downtown,Central Business District,47.61436,-122.33172,Entire home/apt,210,1,1,2014-09-11,0.02,1,365
